91 Lê Lợi, Đức Hòa, Tây Ninh
788 Lê Lợi, Hà Tĩnh, Hà Tĩnh
249 Hoàng Văn Thụ, Hồng Bàng, Hải Phòng
982 Phạm Văn Đồng, Nghi Lộc, Nghệ An
31 Hoàng Văn Thụ, Khoái Châu, Hưng Yên
33 Nguyễn Thái Học, Pleiku, Gia Lai
973 Phan Chu Trinh, Từ Sơn, Bắc Ninh
615 Phan Đình Phùng, Kim Sơn, Ninh Bình
593 Cách Mạng Tháng Tám, Biên Hòa, Đồng Nai
732 Cách Mạng Tháng Tám, Sơn Trà, Đà Nẵng
62 Hoàng Văn Thụ, Na Hang, Tuyên Quang
24 Nguyễn Thái Học, Vĩnh Long, Vĩnh Long
418 Phan Chu Trinh, Đà Lạt, Lâm Đồng
638 Trần Phú, Tân An, Tây Ninh
547 Võ Thị Sáu, Khoái Châu, Hưng Yên
199 Hoàng Văn Thụ, Hữu Lũng, Lạng Sơn
562 Phan Đình Phùng, Ayun Pa, Gia Lai
235 Lý Thường Kiệt, Đại Từ, Thái Nguyên
985 Võ Thị Sáu, Hương Trà, Huế
593 Phan Chu Trinh, Thái Nguyên, Thái Nguyên
415 Nguyễn Huệ, Quế Võ, Bắc Ninh
401 Phan Chu Trinh, Mường Lay, Điện Biên
350 Quang Trung, Sơn Trà, Đà Nẵng
815 Võ Thị Sáu, Trảng Bom, Đồng Nai
519 Nguyễn Trãi, Hòa An, Cao Bằng
961 Hoàng Văn Thụ, Tam Điệp, Ninh Bình
201 Cách Mạng Tháng Tám, Khoái Châu, Hưng Yên
36 Hai Bà Trưng, Đức Trọng, Lâm Đồng
757 Lê Lợi, Sa Pa, Lào Cai
298 Nguyễn Thái Học, Đại Từ, Thái Nguyên
269 Võ Thị Sáu, Lấp Vò, Đồng Tháp
976 Phan Đình Phùng, Diễn Châu, Nghệ An
100 Nguyễn Trãi, Phổ Yên, Thái Nguyên
502 Lê Lợi, Thanh Khê, Đà Nẵng
178 Phan Đình Phùng, Mai Sơn, Sơn La
929 Lê Lợi, Yên Sơn, Tuyên Quang
185 Phan Chu Trinh, Hạ Long, Quảng Ninh
621 Nguyễn Trãi, Buôn Ma Thuột, Đắk Lắk
648 Lê Duẩn, Trần Văn Thời, Cà Mau
942 Quang Trung, Thanh Khê, Đà Nẵng
948 Phan Chu Trinh, Nghi Lộc, Nghệ An
47 Hai Bà Trưng, Hương Thủy, Huế
54 Phạm Văn Đồng, Từ Sơn, Bắc Ninh
702 Võ Thị Sáu, Châu Thành, An Giang
779 Lý Thường Kiệt, Lạng Sơn, Lạng Sơn
797 Hai Bà Trưng, Diễn Châu, Nghệ An
878 Lê Lợi, Biên Hòa, Đồng Nai
368 Hoàng Văn Thụ, Buôn Ma Thuột, Đắk Lắk
439 Phan Chu Trinh, Yên Phong, Bắc Ninh
465 Cách Mạng Tháng Tám, Cao Lãnh, Đồng Tháp
230 Phan Đình Phùng, Kim Sơn, Ninh Bình
320 Nguyễn Thái Học, Kim Sơn, Ninh Bình
291 Nguyễn Trãi, Ngô Quyền, Hải Phòng
439 Hai Bà Trưng, Lấp Vò, Đồng Tháp
876 Nguyễn Huệ, Việt Trì, Phú Thọ
210 Nguyễn Huệ, Điện Biên Phủ, Điện Biên
922 Lý Thường Kiệt, Kim Sơn, Ninh Bình
115 Trần Phú, Châu Thành, An Giang
326 Phan Chu Trinh, Biên Hòa, Đồng Nai
645 Lý Thường Kiệt, Châu Thành, An Giang
774 Hai Bà Trưng, Từ Sơn, Bắc Ninh
759 Đinh Tiên Hoàng, Cái Răng, Cần Thơ
539 Trần Phú, Hồng Ngự, Đồng Tháp
301 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn
648 Trần Phú, Thanh Sơn, Phú Thọ
66 Trần Phú, Lạng Sơn, Lạng Sơn
474 Hoàng Văn Thụ, Mường Lay, Điện Biên
442 Hoàng Văn Thụ, Sa Đéc, Đồng Tháp
575 Nguyễn Du, Văn Lâm, Hưng Yên
895 Quang Trung, Nghi Sơn, Thanh Hóa
647 Trần Phú, Phổ Yên, Thái Nguyên
913 Trần Phú, Long Hồ, Vĩnh Long
668 Quang Trung, Quảng Trị, Quảng Trị
172 Nguyễn Trãi, Phong Thổ, Lai Châu
